Row;Bitcoin;Ethereum;Uniswap;Dogecoin
price;1;1;1;1
current;1;0;0;0
dollar;1;0;0;0
ratio;1;0;0;0
trade;1;0;0;0
invest;1;0;0;1
btcusd;1;0;0;0
sell;1;1;1;1
bitcoin;1;1;1;1
buy;1;1;1;1
right;1;0;0;0
network;1;1;0;0
like;1;1;1;1
time;1;0;1;1
use;1;0;1;1
know;1;0;1;1
think;1;1;1;1
people;1;0;0;1
btc;1;1;1;1
company;1;0;0;0
giveaway;1;0;0;0
expect;1;0;0;0
real;1;0;0;0
investor;1;0;0;0
wallet;1;1;1;1
bsc;1;1;0;0
sol;1;0;0;0
ltc;1;0;0;0
cardano;1;0;0;0
link;1;1;1;0
bnb;1;1;0;0
nft;1;1;1;1
ada;1;1;0;1
eth;1;1;1;1
trading;1;1;1;0
blockchain;1;1;0;0
altcoin;1;1;0;0
xrp;1;1;0;1
binance;1;0;1;1
cryptocurrency;1;1;1;1
crypto;1;1;1;1
bullish;1;0;0;0
high;1;1;1;0
usd;1;1;0;0
good;1;1;1;1
project;1;1;1;1
market;1;1;1;1
hold;1;1;1;1
support;1;0;1;1
bet;1;0;0;0
level;1;1;0;0
future;1;1;1;0
mining;1;0;0;0
value;1;1;0;0
money;1;1;1;1
doge;1;1;1;1
pump;1;0;0;0
asset;1;0;0;0
increase;1;1;1;1
new;1;0;1;1
cryptonews;1;1;0;0
defi;1;1;1;0
ethereum;1;1;1;1
chart;0;1;1;0
great;0;1;1;0
metaverse;0;1;0;0
fantasy;0;1;0;0
erc;0;1;1;0
art;0;1;0;0
airdrop;0;1;1;1
digitalasset;0;1;0;0
million;0;1;1;0
transaction;0;1;1;0
amp;0;1;0;1
gasfee;0;1;1;0
stake;1;1;1;0
chainlink;0;1;0;0
nftartist;0;1;0;0
cryptoart;0;1;0;0
opensea;0;1;0;0
nftcollector;0;1;0;0
nftart;0;1;0;0
nftcommunity;0;1;0;0
sorare;0;1;0;0
contract;0;0;1;0
swap;0;0;1;0
token;0;0;1;1
uniswap;0;0;1;1
exchange;0;0;1;0
pancakeswap;0;0;1;0
coin;0;0;0;1
volume;0;0;1;0
follow;0;0;1;1
liquidity;0;0;1;0
metamask;0;0;1;0
platform;0;0;1;0
launch;0;0;1;0
lose;0;0;1;0
governance;0;0;1;0
joy;0;0;1;1
luck;0;0;1;0
scam;0;0;1;0
team;0;0;1;0
join;0;0;1;0
coinbase;0;0;1;0
unicorn;0;0;1;0
dogecoin;1;1;1;1
giftidea;0;0;0;1
shopping;0;0;0;1
dogecoinarmy;0;0;0;1
dog;0;0;0;1
shiba;0;0;0;1
dogecoinrise;0;0;0;1
moon;0;0;0;1
dogecointothemoon;0;0;0;1
linkedin;0;0;0;1
free;0;0;0;1
pinterest;0;0;0;1
freeshipping;0;0;0;1
facebook;0;0;0;1
affiliatemarket;0;0;0;1
tweet;0;0;0;1
musk;0;0;0;1
elon;0;0;0;1
tumblr;0;0;0;1
purchase;0;0;0;1
dogearmy;0;0;0;1
elonmusk;0;0;0;1
tesla;0;0;0;1
love;0;0;0;1
accept;0;0;0;1
amazon;0;0;0;1
socialmedia;0;0;0;1
instagram;0;0;0;1
twitter;0;0;0;1
hodl;0;0;0;1
community;0;0;0;1
pay;0;0;0;1
deal;0;0;0;1
gift;0;0;0;1
