tid	abl	sbl	vp	pp	av	ramp	cars	carr	ss	ttg
4944378	0	0	0	0	0	0	0	0	0	1
4945412	1	1	0	0	0	0	0	1	0	1
4947249	0	0	0	0	0	0	0	1	0	1
4948224	1	1	0	0	0	0	0	0	0	1
4955010	0	0	0	0	1	0	0	1	0	0
4966133	0	0	0	0	0	0	0	0	0	1
4973941	1	1	0	0	0	0	0	1	0	1
4979821	0	0	0	0	0	0	0	0	0	1
4981002	0	0	0	0	0	0	0	0	0	0
4986711	0	0	0	0	1	0	0	0	0	1
4996965	0	0	0	0	0	0	0	0	0	1
5016713	1	1	0	0	0	0	0	0	0	1
5033416	1	1	0	0	1	0	0	0	0	1
5035454	1	1	0	0	1	0	0	0	0	1
5051509	1	1	1	0	0	0	1	1	0	1
5054400	1	1	1	0	1	0	1	1	0	1
5057303	1	1	0	0	0	0	0	1	0	1
5063742	1	0	1	0	0	0	1	0	0	1
5065066	1	1	0	0	1	0	0	1	0	1
5067141	1	1	1	0	1	0	0	1	0	1
5067558	1	1	1	0	1	0	0	1	0	1
5070798	1	1	1	0	1	0	1	1	0	1
5072587	1	1	1	0	1	0	1	1	0	1
5072875	1	1	1	0	0	0	0	0	0	1
5073454	1	1	1	0	1	0	0	1	0	1
5091316	1	1	1	0	1	0	1	1	0	1
5111387	1	1	1	0	1	0	1	1	0	1
5115594	1	1	1	0	1	0	1	1	0	1
